,FaqID,FaqQuestion,FaqAnswer
0,8656,how to remove tree sap from car  hi i have some tree sap on my car  both older  pretty dry  and some newer from a redwood tree any tips on how to remove it ,i have had good luck with commercial products available at auto supply stores for just a few dollars  below are some additional suggestions if you want to try diy 
1,40807,how do i get a sticker off of a car window   plastic part    nail polish remover seems risky  ,goo gone is a fantastic product  available at target and most any hardware store or drug store  and works amazingly well on even pesky sticker residue   soak the area  and wipe it away   it might take repeated applications  but you can remove the sticker without scratching  and without leaving a gooey residue note that goo gone can affect some surfaces  including some plastics  so you should be careful  especially if it is clear plastic   i ve used goo gone many times on plastic glassic and cd cases  so it will certainly work on many plastics  but you should be careful  in the event that goo gone seems too risky  you can frequently remove just the adhesive residue using plain old scotch tape   remove as much of the sticker as possible  the paper plastic backing  and then apply tape to the sticker residue firmly   pull the tape off sharply  and some of the residue will come with it   this is a slow process so only do it if the area is relatively small  however  i frequently use this tactic for price tags and the like and it is surprisingly effective 
2,57727,how to get rid of garbage disposal odor  ,  inspect the black rubber cover that fits in the disposal  sometimes bits of garbage collect under the flaps and create a smell     2  clean the rubber cover  if necessary  if yours lifts out  remove it and clean away debris with a scrub brush and warm  soapy water  if your rubber cover is installed permanently  lift up each flap and clean it with soapy water and an old toothbrush     3  deodorize the disposal  cut a lemon in half and drop the fruit and a handful of baking soda into the disposal  turn on the cold water faucet and then the disposal  the unit will clean itself as it grinds up the mixture 
3,120493,how to maintain a lawn mower  ,to properly maintain your lawnmover  you ll need to do the things below  if you use use your lawnmover year round  you might need to do maintaince twice a year 1  changing the oil  for non electric 2  removing dirt  grass  and grime from the underside3  cleaning the air filter4  cleaning the spark plugsyou ll need the following tools to do the job 1  putty knife2  socket wrench3  file or sharpening tool4  wire brush5  30 weight oilit actually didn t sound so hard to maintain  the most important safety concern is to remember to remove the spark plug before working on the blade you ll find the instructions on the home depot site 
4,62732,how to fix vertical blinds  i can no longer re hang them because they are broken ,click on the link and follow the steps 
5,29738,how to unclog a tub  ,  get a pair of tweezers or an old small scissors in order to lift long hair out from the drain  or whatever may be causing the clog   try running hot water down the drain  and see if it goes down quickly   if it is still too slow  and collecting in the tub  try putting a half cup of baking soda in the drain  then pour a half cup of vinegar immediately afterwards   then rinse with water 2  another way to unclog a tub is to use chemical products such as drano or liquidplumr   just don t use vinegar and then use the chemical product at the same time  3   have you tried using a plunger   this may also work   move the plunger in an up and  down motion quickly  loosening the clog as you go  if everything didn t work  call a professional to snake the drain  and remove the entire clog from the drain 
6,119279,how do you quiet a squeaky door  ,spray wd 40 directly onto the hinges of the door   open and close the door several times   remove hinges if the door still squeaks    remove any rust  dirt or loose paint   apply wd 40 to removed hinges  put the hinges back  open and close door several times again 
7,40331,how to fix a vacuum cleaner  my vacuum cleaner sucks   it sucks dirt weakly ,check the hose  wand and cleaning tools for obstructions  debris often collects where one part plugs into another  or where the hose connects to the main vacuum housing  remove the parts one at a time and remove any debris you find   clear any hidden obstructions by pushing a broom handle through the hose and wands   reassemble all the parts   you may also have to replace the drive belt 1  unplug the machine and flip it over so you can access the agitator brush   2  unscrew the bottom plate that holds the brush in place  using a screwdriver     3  lift out the brush by pulling the roller ends out of the slots in the vacuum base  if the drive belt isn t completely broken  one end will be wrapped around the agitator brush  the other around the motor drive shaft  slide the belt off of each part  take it to a hardware store to get a replacement     4  inspect the agitator brush before installing the new belt  sometimes thread or hair will wrap around the ends or elsewhere on the brush roller  this can prevent the agitator from turning and cause a belt to fail prematurely  cut any thread or hair with a sharp knife and pull it off     5  install the new belt  slide one end over the agitator brush and the other over the drive shaft  then reinstall the agitator brush  you may have to pull on the agitator brush to stretch the new belt a bit so the roller ends fit into the vacuum base     6  reinstall the bottom plate 
8,110761,how to get rid of rodents  ,use glue traps for small mice  and spring traps for rats   you can also spread peanut butter 
9,91753,how do i know when to replace tires on my car  if there are no abnormal bumps or bruises  there seem to be some tread depth markers in the grooves on the tire  but what exactly do those mean ,if you are starting to run into the wear bars  you should replace your tires   the tread depth indicators usually denote around 2 32  of tread depth remaining  which is the minimum requirement in many states   with the rainy season starting  that small amount of tread depth will be much more subseptible to hydroplaning than a new tire   also  even if tires have a lot of tread  the rubber can break down and cause problems   you can usually tell when a tire is being very loud on the highway and rebalancing won t fix the problem   please see the link below for expert advice from the tire rack on when to change tires 
10,27793,how can i make a clean cut in something that is both metal and wood  hi   i ve got a door threshold to put in  it s a pre fab thing that i got from home depot  it has interlocking wood and metal components  and i want to cut it to length  what tool would people recommend to make a clean cut that will require cutting through both metal and wood at once ,i m no expert  but generally speaking  a finer toothed saw will make cleaner cuts  and slower ones         among hand tools  i d try a hack saw  for handheld power tools  a fine toothed circle saw or perhaps one of those  super disks   and for table based power tools  a band saw   either way  take your time by the way  if you ve got significant excess length  you can always practice a couple of different approaches before making the final cut 
11,63897,how do i get rid of squirrels in the roof raffters  ,a live trap baited with peanut butter is best 
12,88034,how do i disengage electronic transmission shift lock in 2000 chevy tahoe  on my 2000 chevy tahoe  z71   occationally i can t shift transmission out of parking level  there s gotta be a override  does anyone know ,there is a switch on the brake pedal  it is part of the shift interlock system so the car won t start in drive or reverse and also your brake has to be depressed to engage the transmission   it can sometimes get out of alignment or it could have an intemittent short in it yeah it s electrical   i would check that 1st  good luck
13,95286,how do i cahange the serpentine belt in a  97 ford taurus  my idiler sp   broke so i need to put on a new one and i figured i should replace the belt too  i really need to know how to get the tension off while i put on the new belt  thank you ,most engines have 2 idlers  look for the one attached to a nearby round metal plate  if the arm the idler is attached to points left you must turn the bolt on the idler left to remove tension and right to remove the bolt  the opposite if the connective arm points right
14,94346,how do you stop a squeaky garage door  have an automatic garage door that really squeaks   does not seem related to the opener itself but to the rollers on the sides   i ve tried lubricating them to no avail ,quote   squeaky doors can be a real nuisance  fortunately  there are several very easy fixes for this common problem  here are some tips   try spraying a little wd 40  tm   oil directly into the door hinges  with the door still attached  operate the door to check and see if that eliminated the squeak   if the door still squeaks  apply a little powdered lubricant  e g   powdered graphite  inside the hinge    squeaky part    if you don t have any powdered lubricant  you could try using some household materials that you may have handy  try rubbing petroleum jelly or candle wax on the hinge   repeat these steps on the other hinge s  if necessary   if that doesn t work  check for rust or other gunk on the rails and wheels that may be causing extra squeaking at certain door positions 
15,105935,how to bleed hydralic clutch 93 ford f 150  ,you will need help 
