,FaqID,FaqQuestion,FaqAnswer
0,8656,"How to remove tree sap from car? Hi,I have some tree sap on my car, both older (pretty dry) and some newer from a redwood tree.Any tips on how to remove it?",I have had good luck with commercial products available at auto supply stores for just a few dollars. Below are some additional suggestions if you want to try DIY:
1,40807,How do I get a sticker off of a car window  (plastic part)?  Nail polish remover seems risky? ,"Goo Gone is a fantastic product (available at Target and most any hardware store or drug store) and works amazingly well on even pesky sticker residue.  Soak the area, and wipe it away.  It might take repeated applications, but you can remove the sticker without scratching, and without leaving a gooey residue.Note that Goo Gone can affect some surfaces, including some plastics, so you should be careful, especially if it is clear plastic.  I've used Goo Gone many times on plastic glassic and CD cases, so it will certainly work on many plastics, but you should be careful. In the event that Goo Gone seems too risky, you can frequently remove just the adhesive residue using plain old Scotch tape.  Remove as much of the sticker as possible (the paper/plastic backing) and then apply tape to the sticker residue firmly.  Pull the tape off sharply, and some of the residue will come with it.  This is a slow process so only do it if the area is relatively small, however, I frequently use this tactic for price tags and the like and it is surprisingly effective."
2,57727,How to get rid of garbage disposal odor? ,"1. Inspect the black rubber cover that fits in the disposal. Sometimes bits of garbage collect under the flaps and create a smell.    2. Clean the rubber cover, if necessary. If yours lifts out, remove it and clean away debris with a scrub brush and warm, soapy water. If your rubber cover is installed permanently, lift up each flap and clean it with soapy water and an old toothbrush.    3. Deodorize the disposal. Cut a lemon in half and drop the fruit and a handful of baking soda into the disposal. Turn on the cold water faucet and then the disposal. The unit will clean itself as it grinds up the mixture."
3,120493,How to maintain a lawn mower? ,"To properly maintain your lawnmover, you'll need to do the things below. If you use use your lawnmover year round, you might need to do maintaince twice a year.1) Changing the oil (for non-electric)2) Removing dirt, grass, and grime from the underside3) Cleaning the air filter4) Cleaning the spark plugsYou'll need the following tools to do the job:1) Putty knife2) Socket wrench3) File or sharpening tool4) Wire brush5) 30-weight oilIt actually didn't sound so hard to maintain. The most important safety concern is to remember to remove the spark plug before working on the blade.You'll find the instructions on the home depot site."
4,62732,How to fix vertical blinds? I can no longer re-hang them because they are broken.,Click on the link and follow the steps.
5,29738,How to unclog a tub? ,"1. Get a pair of tweezers or an old small scissors in order to lift long hair out from the drain, or whatever may be causing the clog.  Try running hot water down the drain, and see if it goes down quickly.  If it is still too slow, and collecting in the tub, try putting a half-cup of baking soda in the drain, then pour a half-cup of vinegar immediately afterwards.  Then rinse with water.2. Another way to unclog a tub is to use chemical products such as Drano or LiquidPlumr.  Just don't use vinegar and then use the chemical product at the same time! 3.  Have you tried using a plunger?  This may also work.  Move the plunger in an up-and- down motion quickly, loosening the clog as you go. If everything didn't work, call a professional to snake the drain, and remove the entire clog from the drain."
6,119279,How do you quiet a squeaky door? ,"Spray WD-40 directly onto the hinges of the door.  Open and close the door several times.  Remove hinges if the door still squeaks.   Remove any rust, dirt or loose paint.  Apply WD-40 to removed hinges. Put the hinges back, open and close door several times again."
7,40331,How to fix a vacuum cleaner? My vacuum cleaner sucks!  It sucks dirt weakly.,"Check the hose, wand and cleaning tools for obstructions. Debris often collects where one part plugs into another, or where the hose connects to the main vacuum housing. Remove the parts one at a time and remove any debris you find.  Clear any hidden obstructions by pushing a broom handle through the hose and wands.  Reassemble all the parts.  You may also have to replace the drive belt.1. Unplug the machine and flip it over so you can access the agitator brush.  2. Unscrew the bottom plate that holds the brush in place, using a screwdriver.    3. Lift out the brush by pulling the roller ends out of the slots in the vacuum base. If the drive belt isn't completely broken, one end will be wrapped around the agitator brush, the other around the motor drive shaft. Slide the belt off of each part. Take it to a hardware store to get a replacement.    4. Inspect the agitator brush before installing the new belt. Sometimes thread or hair will wrap around the ends or elsewhere on the brush roller. This can prevent the agitator from turning and cause a belt to fail prematurely. Cut any thread or hair with a sharp knife and pull it off.    5. Install the new belt. Slide one end over the agitator brush and the other over the drive shaft. Then reinstall the agitator brush. You may have to pull on the agitator brush to stretch the new belt a bit so the roller ends fit into the vacuum base.    6. Reinstall the bottom plate."
8,110761,How to get rid of rodents? ,"Use glue traps for small mice, and spring traps for rats.  You can also spread peanut butter."
9,91753,"how do i know when to replace tires on my car? if there are no abnormal bumps or bruises. there seem to be some tread depth markers in the grooves on the tire, but what exactly do those mean?","If you are starting to run into the wear bars, you should replace your tires.  The tread depth indicators usually denote around 2/32"" of tread depth remaining, which is the minimum requirement in many states.  With the rainy season starting, that small amount of tread depth will be MUCH more subseptible to hydroplaning than a new tire.  Also, even if tires have a lot of tread, the rubber can break down and cause problems.  You can usually tell when a tire is being very loud on the highway and rebalancing won't fix the problem.  Please see the link below for expert advice from The Tire Rack on when to change tires."
10,27793,"How can I make a clean cut in something that is both metal and wood? Hi - I've got a door threshold to put in. It's a pre-fab thing that I got from Home Depot. It has interlocking wood and metal components, and I want to cut it to length. What tool would people recommend to make a clean cut that will require cutting through both metal and wood at once?","I'm no expert, but generally speaking, a finer-toothed saw will make cleaner cuts (and slower ones ;-) ).  Among hand tools, I'd try a hack saw; for handheld power tools, a fine-toothed circle saw or perhaps one of those ""super disks""; and for table-based power tools, a band saw.  Either way, take your time.By the way, if you've got significant excess length, you can always practice a couple of different approaches before making the final cut."
11,63897,How do I get rid of squirrels in the roof raffters? ,A live trap baited with peanut butter is best.
12,88034,"How do I disengage electronic transmission shift lock in 2000 Chevy Tahoe? On my 2000 Chevy tahoe (z71), occationally I can't shift transmission out of parking level. There's gotta be a override? Does anyone know?",There is a switch on the brake pedal. It is part of the shift interlock system(so the car won't start in Drive or Reverse and also your brake has to be depressed to engage the Transmission.) It can sometimes get out of alignment or it could have an intemittent short in it(yeah it's electrical). I would check that 1st. Good Luck
13,95286,How do I cahange the serpentine belt in a '97 Ford Taurus? My idiler(sp?) broke so I need to put on a new one and I figured I should replace the belt too. I really need to know how to get the tension off while I put on the new belt. Thank you.,"most engines have 2 idlers, look for the one attached to a nearby round metal plate, if the arm the idler is attached to points left you must turn the bolt on the idler left to remove tension and right to remove the bolt, the opposite if the connective arm points right"
